,Name,Logistic Regression
0,Adiac,0.9795
1,ArrowHead,0.6286
2,Beef,0.0167
3,BeetleFly,0.475
4,BirdChicken,0.425
5,Car,0.7667
6,CBF,0.66
7,ChlorineConcentration,0.5492
8,Coffee,0.0357
9,Computers,0.522
10,CricketX,0.9013
11,CricketY,0.9051
12,CricketZ,0.9231
13,DiatomSizeReduction,0.7059
14,DistalPhalanxOutlineAgeGroup,0.5683
15,DistalPhalanxOutlineCorrect,0.4221
16,DistalPhalanxTW,0.6978
17,Earthquakes,0.3561
18,ECG200,0.425
19,ECG5000,0.4683
20,ECGFiveDays,0.4983
21,ElectricDevices,0.7537
22,FaceAll,0.8453
23,FaceFour,0.767
24,FacesUCR,0.9012
25,FiftyWords,0.8934
26,Fish,0.8514
27,FordA,0.4924
28,FordB,0.5123
29,GunPoint,0.5033
30,Ham,0.5095
31,HandOutlines,0.3824
32,Haptics,0.8133
33,Herring,0.4219
34,InlineSkate,0.8164
35,ItalyPowerDemand,0.484
36,LargeKitchenAppliances,0.664
37,Lightning2,0.4918
38,Lightning7,0.863
39,Mallat,0.8823
40,Meat,0.05
41,MedicalImages,0.5941
42,MiddlePhalanxOutlineAgeGroup,0.8084
43,MiddlePhalanxOutlineCorrect,0.4553
44,MiddlePhalanxTW,0.7338
45,MoteStrain,0.5032
46,NonInvasiveFetalECGThorax1,0.9786
47,NonInvasiveFetalECGThorax2,0.9819
48,OliveOil,0.25
49,OSULeaf,0.7831
50,PhalangesOutlinesCorrect,0.3782
51,Phoneme,0.9296
52,Plane,0.9048
53,ProximalPhalanxOutlineAgeGroup,0.5659
54,ProximalPhalanxOutlineCorrect,0.3162
55,ProximalPhalanxTW,0.6171
56,RefrigerationDevices,0.6907
57,ScreenType,0.664
58,ShapeletSim,0.4861
59,ShapesAll,0.9692
60,SmallKitchenAppliances,0.6507
61,SonyAIBORobotSurface1,0.5799
62,SonyAIBORobotSurface2,0.4685
63,Strawberry,0.3378
64,SwedishLeaf,0.9416
65,Symbols,0.8312
66,SyntheticControl,0.805
67,ToeSegmentation1,0.4912
68,ToeSegmentation2,0.4038
69,Trace,0.765
70,TwoLeadECG,0.5
71,TwoPatterns,0.7474
72,UWaveGestureLibraryAll,0.8723
73,UWaveGestureLibraryX,0.8827
74,UWaveGestureLibraryY,0.8756
75,UWaveGestureLibraryZ,0.8748
76,Wafer,0.128
77,Wine,0.0741
78,WordSynonyms,0.7994
79,Worms,0.6364
80,WormsTwoClass,0.4286
81,Yoga,0.4685
82,ACSF1,0.89
83,BME,0.2333
84,Chinatown,0.4577
85,Crop,0.9178
86,DodgerLoopDay,0.8313
87,DodgerLoopGame,0.4783
88,DodgerLoopWeekend,0.4529
89,EOGHorizontalSignal,0.8439
90,EOGVerticalSignal,0.9268
91,EthanolLevel,0.758
92,FreezerRegularTrain,0.4996
93,FreezerSmallTrain,0.4795
94,Fungi,0.8978
95,GunPointAgeSpan,0.5111
96,GunPointMaleVersusFemale,0.4763
97,GunPointOldVersusYoung,0.4603
98,HouseTwenty,0.5042
99,InsectEPGRegularTrain,0.3554
100,InsectEPGSmallTrain,0.4699
101,MelbournePedestrian,0.8362
102,MixedShapesSmallTrain,0.6971
103,PigAirwayPressure,0.988
104,PigArtPressure,0.9808
105,PigCVP,0.9808
106,PowerCons,0.5056
107,Rock,0.69
108,SemgHandGenderCh2,0.6283
109,SemgHandMovementCh2,0.6144
110,SemgHandSubjectCh2,0.5067
111,SmoothSubspace,0.67
112,UMD,0.684
