,Name,Random forest(error)
0,Adiac,0.2788
1,ArrowHead,0.5371
2,Beef,0.3333
3,BeetleFly,0.1
4,BirdChicken,0.2
5,Car,0.4167
6,CBF,0.47
7,ChlorineConcentration,0.2888
8,Coffee,0.0
9,Computers,0.344
10,CricketX,0.5538
11,CricketY,0.5872
12,CricketZ,0.559
13,DiatomSizeReduction,0.1863
14,DistalPhalanxOutlineAgeGroup,0.2734
15,DistalPhalanxOutlineCorrect,0.2391
16,DistalPhalanxTW,0.3381
17,Earthquakes,0.2518
18,ECG200,0.18
19,ECG5000,0.0687
20,ECGFiveDays,0.0081
21,ElectricDevices,0.397
22,FaceAll,0.1822
23,FaceFour,0.5114
24,FacesUCR,0.319
25,FiftyWords,0.5934
26,Fish,0.2457
27,FordA,0.0606
28,FordB,0.2358
29,GunPoint,0.1933
30,Ham,0.3905
31,HandOutlines,0.127
32,Haptics,0.539
33,Herring,0.4062
34,InlineSkate,0.6236
35,ItalyPowerDemand,0.0525
36,LargeKitchenAppliances,0.28
37,Lightning2,0.4754
38,Lightning7,0.589
39,Mallat,0.1667
40,Meat,0.15
41,MedicalImages,0.3211
42,MiddlePhalanxOutlineAgeGroup,0.4156
43,MiddlePhalanxOutlineCorrect,0.1993
44,MiddlePhalanxTW,0.4091
45,MoteStrain,0.3698
46,NonInvasiveFetalECGThorax1,0.1628
47,NonInvasiveFetalECGThorax2,0.1181
48,OliveOil,0.1333
49,OSULeaf,0.2934
50,PhalangesOutlinesCorrect,0.2133
51,Phoneme,0.7848
52,Plane,0.0286
53,ProximalPhalanxOutlineAgeGroup,0.161
54,ProximalPhalanxOutlineCorrect,0.1409
55,ProximalPhalanxTW,0.2098
56,RefrigerationDevices,0.4987
57,ScreenType,0.496
58,ShapeletSim,0.3722
59,ShapesAll,0.365
60,SmallKitchenAppliances,0.352
61,SonyAIBORobotSurface1,0.2596
62,SonyAIBORobotSurface2,0.1112
63,Strawberry,0.0676
64,SwedishLeaf,0.112
65,Symbols,0.3809
66,SyntheticControl,0.38
67,ToeSegmentation1,0.3026
68,ToeSegmentation2,0.3538
69,Trace,0.06
70,TwoLeadECG,0.1501
71,TwoPatterns,0.5635
72,UWaveGestureLibraryAll,0.3199
73,UWaveGestureLibraryX,0.541
74,UWaveGestureLibraryY,0.4824
75,UWaveGestureLibraryZ,0.5148
76,Wafer,0.0099
77,Wine,0.5741
78,WordSynonyms,0.6426
79,Worms,0.3636
80,WormsTwoClass,0.1948
81,Yoga,0.3203
82,ACSF1,0.45
83,BME,0.0
84,Chinatown,0.1166
85,Crop,0.2939
86,DodgerLoopDay,0.65
87,DodgerLoopGame,0.3986
88,DodgerLoopWeekend,0.2464
89,EOGHorizontalSignal,0.7017
90,EOGVerticalSignal,0.7514
91,EthanolLevel,0.658
92,FreezerRegularTrain,0.1733
93,FreezerSmallTrain,0.2996
94,Fungi,0.5161
95,GunPointAgeSpan,0.2152
96,GunPointMaleVersusFemale,0.0285
97,GunPointOldVersusYoung,0.0032
98,HouseTwenty,0.2101
99,InsectEPGRegularTrain,0.1928
100,InsectEPGSmallTrain,0.2691
101,MelbournePedestrian,0.1205
102,MixedShapesSmallTrain,0.2334
103,PigAirwayPressure,0.9231
104,PigArtPressure,0.7356
105,PigCVP,0.851
106,PowerCons,0.0889
107,Rock,0.48
108,SemgHandGenderCh2,0.1867
109,SemgHandMovementCh2,0.4978
110,SemgHandSubjectCh2,0.3711
111,SmoothSubspace,0.2667
112,UMD,0.4583
