,Name,Random Forest(100)
0,Adiac,0.9783
1,ArrowHead,0.6686
2,Beef,0.0167
3,BeetleFly,0.45
4,BirdChicken,0.5
5,Car,0.625
6,CBF,0.6678
7,ChlorineConcentration,0.4793
8,Coffee,0.0536
9,Computers,0.51
10,CricketX,0.9051
11,CricketY,0.9462
12,CricketZ,0.9154
13,DiatomSizeReduction,0.7026
14,DistalPhalanxOutlineAgeGroup,0.5683
15,DistalPhalanxOutlineCorrect,0.4149
16,DistalPhalanxTW,0.6978
17,Earthquakes,0.259
18,ECG200,0.405
19,ECG5000,0.4347
20,ECGFiveDays,0.5081
21,ElectricDevices,0.7595
22,FaceAll,0.8287
23,FaceFour,0.733
24,FacesUCR,0.8802
25,FiftyWords,0.8912
26,Fish,0.82
27,FordA,0.4875
28,FordB,0.4809
29,GunPoint,0.53
30,Ham,0.4286
31,HandOutlines,0.3851
32,Haptics,0.7808
33,Herring,0.4453
34,InlineSkate,0.8336
35,ItalyPowerDemand,0.4893
36,LargeKitchenAppliances,0.3667
37,Lightning2,0.5
38,Lightning7,0.7945
39,Mallat,0.8751
40,Meat,0.0167
41,MedicalImages,0.4914
42,MiddlePhalanxOutlineAgeGroup,0.8084
43,MiddlePhalanxOutlineCorrect,0.445
44,MiddlePhalanxTW,0.7273
45,MoteStrain,0.5008
46,NonInvasiveFetalECGThorax1,0.9776
47,NonInvasiveFetalECGThorax2,0.9804
48,OliveOil,0.0667
49,OSULeaf,0.8306
50,PhalangesOutlinesCorrect,0.4085
51,Phoneme,0.8724
52,Plane,0.8857
53,ProximalPhalanxOutlineAgeGroup,0.4829
54,ProximalPhalanxOutlineCorrect,0.3282
55,ProximalPhalanxTW,0.6756
56,RefrigerationDevices,0.4427
57,ScreenType,0.452
58,ShapeletSim,0.55
59,ShapesAll,0.8433
60,SmallKitchenAppliances,0.332
61,SonyAIBORobotSurface1,0.5691
62,SonyAIBORobotSurface2,0.4302
63,Strawberry,0.4392
64,SwedishLeaf,0.9424
65,Symbols,0.8281
66,SyntheticControl,0.7317
67,ToeSegmentation1,0.4978
68,ToeSegmentation2,0.4269
69,Trace,0.77
70,TwoLeadECG,0.496
71,TwoPatterns,0.7486
72,UWaveGestureLibraryAll,0.8762
73,UWaveGestureLibraryX,0.8742
74,UWaveGestureLibraryY,0.8753
75,UWaveGestureLibraryZ,0.8812
76,Wafer,0.1089
77,Wine,0.0648
78,WordSynonyms,0.7845
79,Worms,0.5065
80,WormsTwoClass,0.3896
81,Yoga,0.4828
82,ACSF1,0.795
83,BME,0.0
84,Chinatown,0.3469
85,Crop,0.8499
86,DodgerLoopDay,0.7812
87,DodgerLoopGame,0.5
88,DodgerLoopWeekend,0.4855
89,EOGHorizontalSignal,0.4296
90,EOGVerticalSignal,0.6354
91,EthanolLevel,0.736
92,FreezerRegularTrain,0.4981
93,FreezerSmallTrain,0.4979
94,Fungi,0.7823
95,GunPointAgeSpan,0.3402
96,GunPointMaleVersusFemale,0.3734
97,GunPointOldVersusYoung,0.3206
98,HouseTwenty,0.4496
99,InsectEPGRegularTrain,0.4317
100,InsectEPGSmallTrain,0.4237
101,MelbournePedestrian,0.6552
102,MixedShapesSmallTrain,0.6584
103,PigAirwayPressure,0.9159
104,PigArtPressure,0.9207
105,PigCVP,0.9207
106,PowerCons,0.5111
107,Rock,0.41
108,SemgHandGenderCh2,0.465
109,SemgHandMovementCh2,0.6711
110,SemgHandSubjectCh2,0.6267
111,SmoothSubspace,0.62
112,UMD,0.4514
