,Name,Random_Forest(error)
0,Adiac,0.2506
1,ArrowHead,0.3943
2,Beef,0.2333
3,BeetleFly,0.15
4,BirdChicken,0.05
5,Car,0.3167
6,CBF,0.3989
7,ChlorineConcentration,0.2667
8,Coffee,0.0
9,Computers,0.336
10,CricketX,0.5205
11,CricketY,0.4385
12,CricketZ,0.4615
13,DiatomSizeReduction,0.134
14,DistalPhalanxOutlineAgeGroup,0.2518
15,DistalPhalanxOutlineCorrect,0.2391
16,DistalPhalanxTW,0.3453
17,Earthquakes,0.2518
18,ECG200,0.18
19,ECG5000,0.0638
20,ECGFiveDays,0.0197
21,ElectricDevices,0.3684
22,FaceAll,0.1402
23,FaceFour,0.4886
24,FacesUCR,0.2712
25,FiftyWords,0.5055
26,Fish,0.16
27,FordA,0.0523
28,FordB,0.2309
29,GunPoint,0.1467
30,Ham,0.3524
31,HandOutlines,0.1081
32,Haptics,0.5357
33,Herring,0.4062
34,InlineSkate,0.5982
35,ItalyPowerDemand,0.0379
36,LargeKitchenAppliances,0.28
37,Lightning2,0.459
38,Lightning7,0.4932
39,Mallat,0.1407
40,Meat,0.1333
41,MedicalImages,0.2737
42,MiddlePhalanxOutlineAgeGroup,0.4286
43,MiddlePhalanxOutlineCorrect,0.1993
44,MiddlePhalanxTW,0.4091
45,MoteStrain,0.2859
46,NonInvasiveFetalECGThorax1,0.1328
47,NonInvasiveFetalECGThorax2,0.0926
48,OliveOil,0.1333
49,OSULeaf,0.314
50,PhalangesOutlinesCorrect,0.1748
51,Phoneme,0.7948
52,Plane,0.0095
53,ProximalPhalanxOutlineAgeGroup,0.1561
54,ProximalPhalanxOutlineCorrect,0.1134
55,ProximalPhalanxTW,0.2146
56,RefrigerationDevices,0.4747
57,ScreenType,0.4907
58,ShapeletSim,0.3167
59,ShapesAll,0.2083
60,SmallKitchenAppliances,0.344
61,SonyAIBORobotSurface1,0.3045
62,SonyAIBORobotSurface2,0.1301
63,Strawberry,0.0568
64,SwedishLeaf,0.0864
65,Symbols,0.3286
66,SyntheticControl,0.0133
67,ToeSegmentation1,0.3509
68,ToeSegmentation2,0.3154
69,Trace,0.04
70,TwoLeadECG,0.1536
71,TwoPatterns,0.228
72,UWaveGestureLibraryAll,0.124
73,UWaveGestureLibraryX,0.3001
74,UWaveGestureLibraryY,0.3479
75,UWaveGestureLibraryZ,0.3721
76,Wafer,0.0112
77,Wine,0.5556
78,WordSynonyms,0.5893
79,Worms,0.3377
80,WormsTwoClass,0.2338
81,Yoga,0.2967
82,ACSF1,0.38
83,BME,0.0
84,Chinatown,0.0583
85,Crop,0.2387
86,DodgerLoopDay,0.55
87,DodgerLoopGame,0.2681
88,DodgerLoopWeekend,0.0507
89,EOGHorizontalSignal,0.605
90,EOGVerticalSignal,0.6464
91,EthanolLevel,0.636
92,FreezerRegularTrain,0.1404
93,FreezerSmallTrain,0.2807
94,Fungi,0.3495
95,GunPointAgeSpan,0.1361
96,GunPointMaleVersusFemale,0.0443
97,GunPointOldVersusYoung,0.0
98,HouseTwenty,0.1933
99,InsectEPGRegularTrain,0.1767
100,InsectEPGSmallTrain,0.3133
101,MelbournePedestrian,0.0763
102,MixedShapesSmallTrain,0.1402
103,PigAirwayPressure,0.8702
104,PigArtPressure,0.6298
105,PigCVP,0.6731
106,PowerCons,0.0389
107,Rock,0.5
108,SemgHandGenderCh2,0.1083
109,SemgHandMovementCh2,0.4689
110,SemgHandSubjectCh2,0.32
111,SmoothSubspace,0.1467
112,UMD,0.1597
